step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
48,-0.075316,0.125,0.0013008,3.0467,-0.074016,185.12,0.0013033,0.001369,1.696e-08,1098.9,0.50781,-0.075316,971.92,0.00019798,0.0,0.0,0.0,0.08409,44.388,1229.8,-0.0013008,-24.561,1.0,0.0,1.0,0.0,0.24818,
49,-0.076491,0.125,0.0013874,3.1812,-0.075103,197.88,0.0012686,0.0013134,-1.2062e-08,1186.2,0.20312,-0.076491,1015.1,9.3734e-05,0.0,1.8846e-12,0.0,0.085561,43.833,1229.8,-0.0013874,-24.464,1.0,0.0,0.99988,0.0,0.19266,
50,-0.070233,0.125,0.0014369,3.1235,-0.068811,200.25,0.0012659,0.0013012,1.8054e-09,1157.6,0.30469,-0.070228,992.97,-0.00011261,0.0,3.8911e-12,0.0,0.077287,44.226,1229.8,-0.0014369,-24.591,0.99999,0.0,0.99983,0.0,0.27857,0.0
51,-0.069349,0.1875,0.0014332,3.1872,-0.067931,184.38,0.0011926,0.0012356,1.1907e-08,1205.6,0.21094,-0.069341,1166.6,0.00013342,0.0,-1.8239e-12,0.0,0.076433,45.206,1216.0,-0.0014332,-24.848,0.99999,0.0,0.99976,0.0,0.34028,
52,-0.077004,0.125,0.0015242,3.1943,-0.075479,189.75,0.0013874,0.0014611,-3.6802e-09,1161.5,0.32031,-0.077004,1015.5,2.1193e-05,0.0,-4.7919e-12,0.0,0.084816,44.246,1230.3,-0.0015242,-24.477,1.0,0.0,0.99986,0.0,0.32955,
53,-0.074357,0.125,0.0014948,3.0856,-0.072863,178.12,0.0013936,0.001441,-8.1484e-09,1114.4,0.28125,-0.074357,913.61,-0.00031309,0.0,1.9894e-12,0.0,0.082029,44.775,1193.0,-0.0014948,-24.493,1.0,0.0,0.9999,0.0,0.46552,
54,-0.071738,0.11719,0.0016459,3.1265,-0.070092,180.5,0.0014863,0.0015769,7.7512e-09,1072.5,0.44531,-0.071738,972.46,9.2987e-05,0.0,4.1763e-12,0.0,0.079352,44.638,1152.8,-0.0016459,-24.294,1.0,0.0,0.99984,0.0,0.37805,
55,-0.072975,0.125,0.0013831,3.0385,-0.071609,187.75,0.0013592,0.0013964,-8.0226e-09,1109.0,0.40625,-0.072968,957.96,0.00024107,0.0,-5.0545e-12,0.0,0.08121,44.468,1212.4,-0.0013831,-24.469,0.99999,0.0,0.99998,0.0,0.15179,
56,-0.062164,0.11719,0.0016427,3.169,-0.060522,223.06,0.0012788,0.001394,9.0734e-09,1195.3,0.26562,-0.062164,1051.4,-0.00010441,0.0,-3.8317e-12,0.0,0.06944,44.763,1247.3,-0.0016427,-24.724,1.0,0.0,0.99964,0.0,0.29333,
57,-0.068648,0.125,0.001204,3.2755,-0.067444,259.31,0.0013953,0.0014349,-1.815e-08,1270.8,0.17188,-0.068648,1142.1,-0.00010656,0.0,0.0,0.0,0.076149,44.839,1297.5,-0.001204,-24.124,1.0,0.0,1.0002,0.0,0.36364,
