step,sft/loss/avg,sft/ppl/avg,timeperf/train_step,sft/vocab_min_logits/avg,sft/vocab_max_logits/avg
253,0.10942,1.1068,0.1359,-23.282,42.989
254,0.12728,1.1331,0.14424,-23.663,42.972
255,0.12619,1.1264,0.14639,-22.5,41.692
256,0.10847,1.1087,0.13526,-22.99,42.864
257,0.11092,1.1077,0.12954,-23.22,42.46
258,0.13299,1.1342,0.1485,-23.681,42.773
259,0.12818,1.1352,0.14265,-23.539,43.004
260,0.1235,1.1234,0.14257,-23.157,42.955
261,0.1269,1.125,0.14713,-23.654,43.325
262,0.11868,1.1272,0.14356,-23.535,42.722
263,0.095355,1.0985,0.14261,-23.19,43.277
264,0.10093,1.1059,0.13397,-23.197,42.751
265,0.097654,1.102,0.13365,-22.789,41.942
266,0.14749,1.1482,0.14613,-23.033,42.487
267,0.12691,1.1286,0.14337,-23.583,42.547
268,0.10672,1.1031,0.14022,-23.362,43.089
269,0.11868,1.1193,0.14557,-23.74,42.583
270,0.14277,1.148,0.14286,-23.303,42.917
271,0.11971,1.1217,0.14418,-22.778,42.046
272,0.11861,1.1201,0.14976,-23.049,42.994
273,0.14487,1.1509,0.14983,-22.521,42.253
274,0.12133,1.1207,0.14427,-23.241,43.642
275,0.11275,1.1142,0.13866,-23.231,42.948
276,0.12647,1.1199,0.14519,-23.448,42.985
277,0.12876,1.1304,0.13926,-22.783,42.008
278,0.13839,1.1262,0.13669,-22.892,41.957
279,0.14147,1.1423,0.15308,-23.252,42.301
280,0.13739,1.1364,0.14721,-23.576,42.786
281,0.10306,1.1046,0.14366,-23.343,42.972
282,0.12817,1.1316,0.14136,-23.316,43.04
283,0.12925,1.1283,0.13954,-22.988,42.329
284,0.10652,1.1162,0.13493,-23.274,42.87
285,0.11482,1.113,0.16322,-23.496,43.417
286,0.11332,1.1059,0.14082,-23.196,42.358
287,0.10375,1.1123,0.14436,-23.551,43.026
288,0.11035,1.1118,0.14105,-23.42,43.117
289,0.10478,1.1096,0.1435,-23.567,43.56
290,0.097539,1.101,0.1481,-23.635,43.635
291,0.11534,1.1153,0.14089,-23.643,43.291
292,0.112,1.1148,0.14522,-23.405,43.324
293,0.10538,1.1027,0.13533,-23.52,42.449
294,0.11069,1.1183,0.13507,-23.17,42.965
295,0.1044,1.1097,0.13991,-23.29,42.686
296,0.11128,1.1147,0.14176,-23.463,43.159
297,0.13763,1.1323,0.13915,-22.96,42.441
298,0.13531,1.1401,0.14056,-23.392,43.251
299,0.11069,1.1222,0.12742,-23.097,42.758
300,0.10097,1.1043,0.14261,-23.573,43.586
