step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
39,-0.076826,0.125,0.0012011,3.1832,-0.075625,188.5,0.0011683,0.001191,-6.1674e-09,1193.6,0.34375,-0.076826,1141.5,4.4146e-05,0.0,1.8532e-12,0.0,0.085586,44.139,1220.9,-0.0012011,-24.643,1.0,0.0,0.99997,0.0,0.38583,
40,-0.072414,0.125,0.0013019,3.1396,-0.071112,182.56,0.0011762,0.0012208,1.3791e-08,1172.3,0.39844,-0.072414,1122.3,5.7255e-05,0.0,4.7049e-13,0.0,0.080765,44.629,1205.4,-0.0013019,-24.759,1.0,0.0,0.99987,0.0,0.26271,
41,-0.077496,0.125,0.0012427,3.2116,-0.076253,208.19,0.0012723,0.0012841,-1.7409e-08,1180.5,0.29688,-0.077496,1042.3,2.6033e-05,0.0,1.4367e-12,0.0,0.088884,43.848,1238.9,-0.0012427,-24.228,1.0,0.0,1.0,0.0,0.26667,
42,-0.088141,0.125,0.001376,3.3464,-0.086765,271.75,0.0012773,0.0013028,7.2304e-09,1287.8,0.19531,-0.088141,1225.7,3.7142e-05,0.0,2.7499e-12,0.0,0.099297,42.999,1302.9,-0.001376,-24.035,1.0,0.0,0.9999,0.0,0.42308,
43,-0.074431,0.085938,0.0012246,3.0891,-0.073206,174.88,0.0011545,0.0011913,7.5834e-09,1133.8,0.47656,-0.074431,1071.3,-0.00014477,0.0,4.8562e-13,0.0,0.082701,44.247,1190.6,-0.0012246,-24.995,1.0,0.0,0.99993,0.0,0.35976,
44,-0.084597,0.125,0.0016192,3.2155,-0.082978,206.81,0.001289,0.0013175,-5.4257e-09,1228.5,0.20312,-0.084597,1162.9,-6.3341e-05,0.0,-1.8232e-12,0.0,0.094631,43.796,1245.2,-0.0016192,-24.865,1.0,0.0,0.99967,0.0,0.5493,
45,-0.072526,0.10938,0.0011082,3.0447,-0.071417,195.5,0.0011582,0.001188,-7.3009e-09,1109.9,0.60156,-0.072526,1051.6,0.00017856,0.0,3.0556e-12,0.0,0.081237,44.125,1197.8,-0.0011082,-24.352,1.0,0.0,1.0,0.0,0.32632,
46,-0.088225,0.125,0.00174,3.0832,-0.086485,168.81,0.0014712,0.0021329,1.1632e-08,1075.8,0.42969,-0.088225,940.51,-8.5006e-05,0.0,5.134e-13,0.0,0.099065,43.479,1177.8,-0.00174,-24.32,1.0,0.0,0.99973,0.0,0.5,
47,-0.083609,0.125,0.0015346,3.0923,-0.082075,194.81,0.0013026,0.0013468,-6.9652e-09,1153.3,0.39844,-0.083609,1061.7,-3.8901e-05,0.0,-3.8868e-12,0.0,0.094373,44.052,1213.9,-0.0015346,-24.185,1.0,0.0,0.99977,0.0,0.37383,
48,-0.084405,0.125,0.0012747,3.1686,-0.08313,185.12,0.0012448,0.0012785,5.2214e-09,1092.4,0.47656,-0.084405,942.95,-9.8194e-05,0.0,-1.0265e-12,0.0,0.093891,43.87,1228.5,-0.0012747,-24.417,1.0,0.0,0.99997,0.0,0.22388,
49,-0.083,0.125,0.0014333,3.1962,-0.081567,197.88,0.0013176,0.001429,1.1805e-08,1187.5,0.19531,-0.083,1015.3,1.8521e-05,0.0,2.3528e-12,0.0,0.093655,43.343,1229.2,-0.0014333,-24.426,1.0,0.0,0.99988,0.0,0.23276,
50,-0.070412,0.125,0.0013594,3.1005,-0.069053,200.25,0.0010736,0.0011219,1.0117e-08,1154.7,0.29688,-0.070412,976.68,-9.3244e-05,0.0,9.7581e-13,0.0,0.079606,43.785,1229.8,-0.0013594,-24.596,1.0,0.0,0.99971,0.0,0.22695,0.0
51,-0.068896,0.1875,0.0011578,3.1862,-0.067738,184.38,0.0011329,0.0011763,-1.7446e-09,1200.2,0.15625,-0.068896,1121.2,-4.3345e-05,0.0,0.0,0.0,0.07756,44.753,1214.9,-0.0011578,-24.936,1.0,0.0,0.99998,0.0,0.29231,
52,-0.082117,0.125,0.0013851,3.1943,-0.080732,189.75,0.0012458,0.0012914,2.944e-09,1161.6,0.28906,-0.082117,1006.8,-3.9672e-05,0.0,-2.875e-12,0.0,0.090955,43.729,1224.5,-0.0013851,-24.512,1.0,0.0,0.99986,0.0,0.31293,
53,-0.081593,0.125,0.0008256,3.0635,-0.080767,178.12,0.0013176,0.0013268,1.1968e-08,1134.4,0.25,-0.081593,913.09,-0.00011493,0.0,1.9478e-12,0.0,0.09034,44.158,1208.1,-0.0008256,-24.554,1.0,0.0,1.0005,0.0,0.5,
54,-0.077593,0.125,0.0015869,3.0646,-0.076006,180.5,0.0013234,0.0013984,1.6051e-08,1101.5,0.48438,-0.077593,1021.0,0.00018673,0.0,-6.0675e-12,0.0,0.087152,44.179,1177.0,-0.0015869,-24.266,1.0,0.0,0.99974,0.0,0.33929,
55,-0.076539,0.10156,0.0012213,3.0518,-0.075318,187.75,0.0012245,0.0012522,-2.8031e-09,1114.4,0.42188,-0.076539,978.13,0.00012328,0.0,-1.0051e-12,0.0,0.085472,44.039,1213.8,-0.0012213,-24.445,1.0,0.0,1.0,0.0,0.21186,
56,-0.068938,0.11719,0.0012275,3.2127,-0.067711,223.06,0.0012563,0.001295,-2.298e-08,1198.3,0.28125,-0.068938,1081.3,1.5419e-05,0.0,-3.3424e-12,0.0,0.077489,44.284,1244.1,-0.0012275,-24.768,1.0,0.0,1.0,0.0,0.31034,
57,-0.069648,0.125,0.0012745,3.3111,-0.068374,259.31,0.0013474,0.0014176,1.5701e-09,1277.1,0.21094,-0.069648,1211.1,-6.1826e-05,0.0,2.745e-12,0.0,0.0768,44.507,1294.8,-0.0012745,-24.214,1.0,0.0,1.0001,0.0,0.39655,
58,-0.069856,0.125,0.0011882,3.0584,-0.068668,206.88,0.0011625,0.0011745,2.2937e-08,1142.4,0.45312,-0.069856,1024.8,0.0001025,0.0,5.9732e-12,0.0,0.078061,44.37,1239.8,-0.0011882,-24.457,1.0,0.0,0.99997,0.0,0.33813,
59,-0.085232,0.070312,0.0014712,3.2114,-0.08376,192.44,0.0013777,0.0014208,2.6227e-09,1198.1,0.33594,-0.085232,1153.3,-0.00019961,0.0,2.7783e-12,0.0,0.094972,43.866,1220.7,-0.0014712,-24.698,1.0,0.0,0.99991,0.0,0.25758,
