step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
48,-0.1736,0.019531,0.0060801,2.9015,-0.16752,152.31,0.004641,0.0049691,2.1662e-09,372.43,0.65156,-0.1736,348.7,0.00010099,0.0,2.1155e-12,0.0,0.19606,26.296,686.28,-0.0060801,-16.247,1.0,0.0,0.99856,0.0,0.59961,
49,-0.17635,0.019531,0.0036761,2.9222,-0.17267,161.5,0.003391,0.0036587,6.3927e-09,385.27,0.5418,-0.17635,374.41,-0.00024174,0.0,2.289e-11,0.0,0.1998,26.028,683.33,-0.0036761,-16.057,1.0,0.0,0.99971,0.0,0.61406,
50,-0.17536,0.0078125,0.0050304,2.9094,-0.17033,170.94,0.0042869,0.0047794,2.2666e-09,381.31,0.59961,-0.17536,369.6,0.000521,0.0,6.6406e-12,0.0,0.19807,26.103,669.4,-0.0050304,-16.011,1.0,0.0,0.99926,0.0,0.49688,0.59313
51,-0.18561,0.0078125,0.0040152,3.0613,-0.18159,164.53,0.0035726,0.0039986,0.0,413.44,0.61406,-0.18561,389.55,-0.0006018,0.0,-1.8708e-11,0.0,0.2135,26.146,680.81,-0.0040152,-15.961,1.0,0.0,0.99956,0.0,0.56992,
52,-0.17928,0.0078125,0.0051419,2.8623,-0.17432,166.22,0.0049499,0.0056427,1.1788e-08,368.48,0.49688,-0.17924,362.58,-0.00023788,0.0,-1.8418e-11,0.0,0.2018,25.924,740.0,-0.0051419,-16.071,0.9999,0.0,0.99981,0.0,0.53477,
53,-0.17626,0.0078125,0.0056658,2.9271,-0.17086,162.91,0.005864,0.0073766,-7.1248e-09,380.42,0.56992,-0.17624,374.07,-0.00055746,0.0,1.7127e-11,0.0,0.19508,26.1,645.0,-0.0056658,-16.181,0.99986,0.0,1.0002,0.0,0.62266,
54,-0.18462,0.015625,0.00877,2.8878,-0.17597,162.41,0.007256,0.011539,-1.162e-09,367.59,0.53477,-0.18461,358.59,0.00014693,0.0,-1.8156e-11,0.0,0.19973,26.101,687.86,-0.00877,-16.138,0.99994,0.0,0.99849,0.0,0.70781,
55,-0.15436,0.011719,0.0065316,2.867,-0.14794,167.44,0.0058705,0.0096074,-1.827e-09,363.18,0.62266,-0.15437,360.57,9.6287e-05,0.0,0.0,0.0,0.17238,26.207,695.0,-0.0065316,-16.296,0.99994,0.0,0.99934,0.0,0.69141,
56,-0.1662,0.011719,0.0045755,2.9455,-0.16166,175.88,0.0038285,0.0049542,-6.8776e-09,383.87,0.70781,-0.1662,380.69,4.1127e-05,0.0,-8.9552e-12,0.0,0.18663,25.922,652.33,-0.0045755,-16.088,0.99998,0.0,0.99925,0.0,0.57617,
57,-0.16727,0.019531,0.0046018,2.8511,-0.16266,150.44,0.0041323,0.0044443,-1.8312e-08,358.76,0.69141,-0.16727,351.22,-9.475e-05,0.0,-4.4706e-12,0.0,0.18938,26.253,672.83,-0.0046018,-16.383,1.0,0.0,0.99953,0.0,0.60703,
58,-0.17661,0.0078125,0.0059178,2.9063,-0.17069,180.75,0.0045466,0.0060344,0.0,371.27,0.57617,-0.17661,370.02,-0.00026489,0.0,-2.4442e-12,0.0,0.20261,25.954,690.0,-0.0059178,-16.346,1.0,0.0,0.99863,0.0,0.64453,
59,-0.16419,0.011719,0.0052311,2.8567,-0.159,145.47,0.0043688,0.0046656,9.3111e-09,350.32,0.60703,-0.16417,348.0,-0.00026396,0.0,4.5464e-12,0.0,0.18718,26.149,645.0,-0.0052311,-16.318,0.99998,0.0,0.99914,0.0,0.76953,
60,-0.20055,0.0078125,0.0084383,2.9178,-0.19214,160.16,0.0066677,0.0075231,-7.0326e-09,380.52,0.64453,-0.20054,373.88,-0.00063346,0.0,8.4526e-12,0.0,0.22229,25.875,713.8,-0.0084383,-16.203,0.99998,0.0,0.99823,0.0,0.59414,
61,-0.17378,0.019531,0.0091908,2.8978,-0.1647,161.59,0.0077795,0.00993,-1.3895e-08,376.07,0.76953,-0.17379,371.83,-6.3151e-05,0.0,0.0,0.0,0.19288,26.156,733.67,-0.0091908,-16.057,0.99995,0.0,0.99859,0.0,0.58242,
62,-0.18594,0.019531,0.0095457,2.8429,-0.17639,147.78,0.0071973,0.0079743,2.0077e-08,361.54,0.59414,-0.18594,355.45,4.0583e-06,0.0,-2.3963e-11,0.0,0.21283,25.903,667.2,-0.0095457,-16.165,1.0,0.0,0.99765,0.0,0.58047,
63,-0.1731,0.027344,0.0081935,2.9021,-0.16498,149.12,0.0072393,0.0080517,-2.0995e-09,376.24,0.58242,-0.17309,370.24,-2.1188e-05,0.0,-8.2013e-12,0.0,0.19737,26.417,677.6,-0.0081935,-16.216,0.99997,0.0,0.99905,0.0,0.60586,
64,-0.18168,0.0078125,0.0089511,2.8303,-0.17277,170.88,0.0070451,0.0078999,-3.4374e-09,361.61,0.58047,-0.18166,361.61,0.00041599,0.0,0.0,0.0,0.20521,25.906,,-0.0089511,-16.096,0.99998,0.0,0.99809,0.0,0.6375,
65,-0.19817,0.015625,0.0062696,2.9974,-0.1919,187.59,0.0050175,0.0051988,4.6243e-09,393.82,0.60586,-0.19817,373.98,0.00020233,0.0,5.6449e-12,0.0,0.22668,25.758,736.93,-0.0062696,-15.945,1.0,0.0,0.99875,0.0,0.55234,
66,-0.1924,0.015625,0.0053091,2.8375,-0.18712,149.41,0.0048529,0.0052909,-1.4225e-10,358.91,0.6375,-0.19239,354.21,-0.00027571,0.0,2.2227e-12,0.0,0.21997,26.045,655.0,-0.0053091,-16.044,0.99998,0.0,0.99954,0.0,0.53789,
67,-0.19204,0.011719,0.0057995,2.9178,-0.18624,156.94,0.0054914,0.005802,-3.1905e-09,381.12,0.55234,-0.19204,378.8,0.00074988,0.0,-2.908e-11,0.0,0.218,25.877,676.0,-0.0057995,-15.812,1.0,0.0,0.99969,0.0,0.54648,
68,-0.18492,0.011719,0.0060634,2.8629,-0.17889,154.81,0.0050975,0.0054394,6.9011e-09,366.42,0.53789,-0.1849,360.13,-0.00011387,0.0,1.7605e-11,0.0,0.21199,25.913,460.69,-0.0060634,-15.993,0.99998,0.0,0.99903,0.0,0.76875,
69,-0.18901,0.011719,0.0052454,2.8213,-0.18376,159.81,0.0039568,0.0045795,1.2321e-08,353.32,0.54648,-0.18901,344.07,0.00077309,0.0,-1.4439e-11,0.0,0.21666,25.712,682.29,-0.0052454,-15.783,1.0,0.0,0.99871,0.0,0.50273,
70,-0.18789,0.0078125,0.0046313,2.842,-0.18326,167.97,0.0039905,0.0045515,8.6206e-09,361.57,0.76875,-0.18789,355.86,0.0001894,0.0,-4.8106e-12,0.0,0.21376,25.66,599.17,-0.0046313,-15.711,1.0,0.0,0.99936,0.0,0.62383,
71,-0.20181,0.019531,0.0062362,2.8338,-0.19561,151.41,0.0047544,0.0054104,6.9158e-09,358.25,0.50273,-0.20181,346.48,0.0002737,0.0,1.3507e-11,0.0,0.23015,25.747,681.44,-0.0062362,-15.903,0.99998,0.0,0.99852,0.0,0.46016,
72,-0.20274,0.015625,0.0058803,2.846,-0.19689,157.72,0.0048894,0.0051291,-2.9012e-10,363.16,0.62383,-0.20272,351.11,-0.00048814,0.0,2.2666e-12,0.0,0.23152,25.689,693.89,-0.0058803,-15.712,0.99998,0.0,0.99901,0.0,0.73047,
73,-0.22908,0.0078125,0.0065378,2.9439,-0.22261,154.19,0.0050597,0.0060698,-1.4087e-08,391.13,0.46016,-0.22906,370.38,-8.7975e-05,0.0,-3.1445e-11,0.0,0.26151,25.558,682.76,-0.0065378,-15.71,0.99997,0.0,0.99852,0.0,0.47305,
