step,timeperf/load_bcast,sft-eval/n_valid_tokens,sft/grad_norm,sft/prompt_tokens,timeperf/train_step,sft-eval/ppl/avg,sft/loss/avg,sft/update_successful,timeperf/save,sft-eval/ppl/max,sft/loss/max,sft/vocab_max_logits/avg,timeperf/checkpoint_for_recover,sft-eval/ppl/min,sft/loss/min,sft/vocab_max_logits/max,timeperf/eval,sft-eval/prompt_tokens,sft/lr,sft/vocab_max_logits/min,timeperf/clear_batches,sft-eval/vocab_max_logits/avg,sft/n_seqs,sft/vocab_min_logits/avg,sft-eval/loss/avg,sft-eval/vocab_max_logits/max,sft/n_tokens,sft/vocab_min_logits/max,sft-eval/loss/max,sft-eval/vocab_max_logits/min,sft/n_valid_tokens,sft/vocab_min_logits/min,sft-eval/loss/min,sft-eval/vocab_min_logits/avg,sft/ppl/avg,sft-eval/n_seqs,sft-eval/vocab_min_logits/max,sft/ppl/max,sft-eval/n_tokens,sft-eval/vocab_min_logits/min,sft/ppl/min
70,0.0070473,,2.4817,4779.0,0.11401,,0.37633,1.0,0.00010495,,13.568,21.769,4.8453e-05,,-0.0,41.25,3.5974e-05,,5.9986e-06,6.3438,0.00020572,,32.0,-12.818,,,12280.0,-6.3125,,,7501.0,-37.5,,,1.4271,,,1.9787,,,1.0954
71,0.0064523,,3.0239,4690.0,0.11025,,0.4076,1.0,0.00010872,,15.965,21.708,4.5619e-05,,-0.0,39.0,3.3881e-05,,5.9985e-06,6.375,0.00020693,,32.0,-13.101,,,11242.0,-6.375,,,6552.0,-37.0,,,1.538,,,2.1337,,,1.1321
72,0.0066044,,2.6131,4823.0,0.11554,,0.37376,1.0,0.00024928,,11.852,21.695,5.8268e-05,,-0.0,38.5,3.9189e-05,,5.9983e-06,6.4375,0.00026467,,32.0,-12.897,,,11547.0,-6.3125,,,6724.0,-37.5,,,1.4553,,,1.9886,,,1.1268
73,0.0074629,,2.8389,4411.0,0.10873,,0.40443,1.0,0.0001329,,12.206,21.641,5.2078e-05,,-0.0,40.75,3.6064e-05,,5.9981e-06,6.375,0.00021394,,32.0,-12.819,,,10444.0,-6.375,,,6033.0,-37.5,,,1.4538,,,2.191,,,1.1125
74,0.0065281,,2.8191,4610.0,0.10904,,0.41741,1.0,0.00011326,,12.137,21.804,4.8363e-05,,-0.0,39.25,3.5123e-05,,5.9979e-06,6.375,0.00021045,,32.0,-13.037,,,10984.0,-6.375,,,6374.0,-37.25,,,1.4779,,,3.008,,,1.1491
75,0.0065086,,2.5158,4237.0,0.11722,,0.34381,1.0,0.00010637,,16.769,22.0,4.9615e-05,,-0.0,39.25,3.3801e-05,,5.9977e-06,6.375,0.00022137,,32.0,-13.032,,,11485.0,-6.25,,,7248.0,-37.0,,,1.4031,,,1.7214,,,1.1516
76,0.0071573,,3.7147,4924.0,0.17188,,0.74294,1.0,0.00013926,,15.585,21.391,4.8543e-05,,-0.0,39.5,2.9635e-05,,5.9974e-06,6.375,0.00021496,,32.0,-12.829,,,14402.0,-6.3438,,,9478.0,-37.0,,,1.6032,,,3.3084,,,1.1159
77,0.0067709,,2.6393,4896.0,0.11058,,0.36028,1.0,0.00012507,,9.876,21.761,4.592e-05,,-0.0,38.75,2.9675e-05,,5.9972e-06,6.4375,0.00021342,,32.0,-13.01,,,11113.0,-6.375,,,6217.0,-36.75,,,1.4778,,,2.9422,,,1.0734
78,0.0065881,,2.3362,5215.0,0.11952,,0.38703,1.0,0.00014933,,10.77,21.856,4.7682e-05,,-0.0,39.25,2.8973e-05,,5.997e-06,6.3438,0.00021502,,32.0,-12.895,,,13397.0,-6.3438,,,8182.0,-36.25,,,1.4575,,,2.2755,,,1.153
79,0.0063539,,2.3848,4141.0,0.11333,,0.35249,1.0,0.0002452,,9.7147,22.017,5.5454e-05,,-0.0,37.25,3.8999e-05,,5.9967e-06,6.375,0.00024288,,32.0,-13.022,,,11361.0,-6.375,,,7220.0,-36.5,,,1.4401,,,2.8511,,,1.1404
